city_state,city_sub
"New Braunfels city, Texas",Newbraunfels
"Plano city, Texas",plano
"Richardson city, Texas",Richardson
"Round Rock city, Texas",RoundRock
"San Antonio city, Texas",sanantonio
"Sugar Land city, Texas",sugarland
"Waco city, Texas",Waco
"Lehi city, Utah",lehighvalley
"Logan city, Utah",Logan
"Ogden city, Utah",ogden
"Harrisonburg city, Virginia",harrisonburg
"Lynchburg city, Virginia",lynchburg
"Norfolk city, Virginia",norfolk
"Portsmouth city, Virginia",Portsmouth
"Roanoke city, Virginia",roanoke
"Virginia Beach city, Virginia",VirginiaBeach
"Bellevue city, Washington",bellevue
"Bellingham city, Washington",Bellingham
"Everett city, Washington",everett
"Olympia city, Washington",olympia
"Redmond city, Washington",redmond
"Renton city, Washington",Renton
"Seattle city, Washington",Seattle
"Spokane city, Washington",Spokane
"Tacoma city, Washington",Tacoma
"Vancouver city, Washington",vancouver
"Yakima city, Washington",Yakima
"Green Bay city, Wisconsin",GreenBay
"Kenosha city, Wisconsin",Kenosha
"La Crosse city, Wisconsin",lacrosse
"Milwaukee city, Wisconsin",milwaukee
"New_York City, New York",nyc
"Salt Lake City, Utah",SaltLakeCity
"Washington, District of Columbia",washingtondc
"Nashville, Tennessee",nashville
"Indianapolis, Indiana",indianapolis
"Oklahoma City, Oklahoma",okc
"Louisville, Kentucky",Louisville
"Colorado Springs, Colorado",ColoradoSprings
"St. Louis, Missouri",StLouis
"St. Paul, Minnesota",saintpaul
"Lexington, Kentucky",lexington
"Anchorage, Alaska",anchorage
"Durham, North Carolina",bullcity
"Sacramento, California",Sacramento
"Aurora, Colorado",AuroraCO
"Columbus, Georgia",ColumbusGA
"Rochester, Minnesota",rochestermn
"Springfield, Missouri",springfieldMO
"St. Charles, Missouri",StCharlesMO
"Provo, Utah",ProvoUtah
"Cambridge, Massachusetts",CambridgeMA
